ElectricStorage.size_kw,ElectricStorage.size_kwh,ElectricStorage.initial_capital_cost,ElectricUtility.lifecycle_emissions_tonnes_PM25,ElectricUtility.lifecycle_emissions_tonnes_SO2,ElectricUtility.lifecycle_emissions_tonnes_NOx,ElectricUtility.lifecycle_emissions_tonnes_CO2,ElectricTariff.lifecycle_fixed_cost_after_tax,ElectricTariff.lifecycle_energy_cost_after_tax,Site.total_renewable_energy_fraction,Site.annual_emissions_tonnes_PM25,PV.size_kw,PV.annual_energy_produced_kwh,PV.lcoe_per_kwh,PV.lifecycle_om_cost_after_tax,Financial.lcc,Financial.lifecycle_om_costs_after_tax,Financial.lifecycle_capital_costs_plus_om_after_tax,Financial.lifecycle_emissions_cost_health,Financial.lifecycle_outage_cost,Financial.initial_capital_costs_after_incentives,Financial.lifecycle_storage_capital_costs,Financial.lifecycle_om_costs_before_tax,Financial.lifecycle_emissions_cost_climate,Financial.lifecycle_fuel_costs_after_tax,Financial.lifecycle_capital_costs,Financial.replacements_future_cost_after_tax,Financial.developer_om_and_replacement_present_cost_after_tax
105.93,146.1,110125.5,1.72,18.45,18.45,27138.61,50593.04,1224556.62,0.194933,0.08,342.6931,433878.35,0.0906,172776.0,2960591.0296,172775.5716,480133.7352,48.96,0.0,277131.2485,110915.0115,215969.4645,910312.33,0.0,307358.1636,82330.5051,203002.4868
105.98,146.17,110178.0,1.73,18.46,18.46,27151.34,50593.04,1225131.25,0.194933,0.08,342.854,434082.45,0.0906,172857.0,2961956.5847,172856.6488,480359.0443,48.98,0.0,277261.296,110967.0598,216070.811,910739.5,0.0,307502.3955,82369.1398,203097.7484
106.03,146.24,110230.5,1.73,18.47,18.47,27164.08,50593.04,1225705.89,0.194933,0.08,343.0148,434285.61,0.0906,172938.0,2963322.1398,172937.726,480584.3534,49.0,0.0,277391.3435,111019.1081,216172.1575,911166.68,0.0,307646.6274,82407.7745,203193.01
106.08,146.31,110283.0,1.73,18.48,18.48,27176.81,50593.04,1226280.53,0.194933,0.08,343.1756,434489.72,0.0906,173019.0,2964687.695,173018.8032,480809.6626,49.03,0.0,277521.391,111071.1565,216273.5041,911593.85,0.0,307790.8593,82446.4092,203288.2716
106.13,146.38,110335.5,1.73,18.49,18.49,27189.55,50593.04,1226855.17,0.194933,0.08,343.3364,434692.88,0.0906,173100.0,2966053.2501,173099.8805,481034.9717,49.05,0.0,277651.4385,111123.2048,216374.8506,912021.03,0.0,307935.0912,82485.0439,203383.5332
106.18,146.45,110388.0,1.73,18.5,18.5,27202.28,50593.04,1227429.81,0.194933,0.08,343.4972,434896.99,0.0906,173181.0,2967418.8052,173180.9577,481260.2808,49.07,0.0,277781.486,111175.2532,216476.1971,912448.21,0.0,308079.3231,82523.6785,203478.7948
106.23,146.52,110440.5,1.73,18.5,18.5,27215.02,50593.04,1228004.45,0.194933,0.08,343.658,435100.15,0.0906,173262.0,2968784.3604,173262.0349,481485.5899,49.09,0.0,277911.5335,111227.3015,216577.5437,912875.38,0.0,308223.555,82562.3132,203574.0564
106.28,146.58,110488.0,1.73,18.51,18.51,27227.75,50593.04,1228579.09,0.194933,0.08,343.8188,435304.26,0.0906,173343.0,2970149.9155,173343.1122,481710.899,49.12,0.0,278041.581,111279.3498,216678.8902,913302.56,0.0,308367.7869,82600.9479,203669.318
106.33,146.65,110540.5,1.73,18.52,18.52,27240.49,50593.04,1229153.73,0.194933,0.08,343.9796,435507.42,0.0906,173424.0,2971515.4706,173424.1894,481936.2082,49.14,0.0,278171.6286,111331.3982,216780.2367,913729.74,0.0,308512.0188,82639.5826,203764.5796
100.11,138.08,104078.5,1.63,17.44,17.44,25648.59,50593.04,1157323.8,0.194933,0.08,323.878,410057.31,0.0906,163290.0,2800821.0789,163289.536,453772.5681,46.27,0.0,261915.6895,104825.3557,204111.9199,860332.72,0.0,290483.0322,77810.2475,191856.8786
106.37,146.72,110589.5,1.73,18.53,18.53,27253.22,50593.04,1229728.37,0.194933,0.08,344.1405,435710.59,0.0906,173505.0,2972881.0258,173505.2666,482161.5173,49.16,0.0,278301.6761,111383.4465,216881.5833,914156.91,0.0,308656.2507,82678.2173,203859.8412
106.42,146.79,110642.0,1.73,18.54,18.54,27265.96,50593.04,1230303.01,0.194933,0.08,344.3013,435914.69,0.0906,173586.0,2974246.5809,173586.3438,482386.8264,49.19,0.0,278431.7236,111435.4949,216982.9298,914584.09,0.0,308800.4826,82716.852,203955.1028
106.47,146.86,110694.5,1.73,18.55,18.55,27278.69,50593.04,1230877.65,0.194933,0.08,344.4621,436117.86,0.0906,173667.0,2975612.136,173667.4211,482612.1355,49.21,0.0,278561.7711,111487.5432,217084.2763,915011.26,0.0,308944.7145,82755.4866,204050.3644
106.52,146.93,110747.0,1.73,18.56,18.56,27291.43,50593.04,1231452.29,0.194933,0.08,344.6229,436321.96,0.0906,173748.0,2976977.6912,173748.4983,482837.4446,49.23,0.0,278691.8186,111539.5915,217185.6229,915438.44,0.0,309088.9464,82794.1213,204145.6261
106.57,147.0,110799.5,1.74,18.56,18.56,27304.16,50593.04,1232026.93,0.194933,0.08,344.7837,436525.13,0.0906,173830.0,2978343.2463,173829.5755,483062.7538,49.25,0.0,278821.8661,111591.6399,217286.9694,915865.62,0.0,309233.1783,82832.756,204240.8877
